Unnamed: 0,封面,书名,豆瓣链接,作者,译者,出版社,出版日期,价格,评分,评分人数,一句话评价,小说,散文随笔,传记,历史,心理学,文化,艺术,人文社科,政治军事,经济管理,科普读物,计算机与互联网,社会学,哲学,诗歌
216,https://img1.doubanio.com/view/subject/s/public/s29497110.jpg,亲密关系（第6版）,https://book.douban.com/subject/26585065/,[美] 罗兰·米勒 (Rowland S. Miller) , 王伟平 译 , 人民邮电出版社 , 2015-6 , 138.00元,9.3,20737,,,,,,,,,,,,,,,,
217,https://img1.doubanio.com/view/subject/s/public/s28284337.jpg,火星救援,https://book.douban.com/subject/26586492/,[美]安迪•威尔 , 陈灼 , 译林出版社 , 2015-10 ,38,8.9,18576,跟火星来一场不是你死就是我活的过家家游戏,,,,,,,,,,,,,,,
218,https://img9.doubanio.com/view/subject/s/public/s10206185.jpg,东晋门阀政治,https://book.douban.com/subject/10758290/,田余庆 ,, 北京大学出版社 , 2012-5 , 49.00元,9.5,10247,,,,,,,,,,,,,,,,
219,https://img9.doubanio.com/view/subject/s/public/s1950424.jpg,上学记,https://book.douban.com/subject/1859140/,何兆武 口述 ,, 生活·读书·新知三联书店 , 2006-8 , 19.80元,8.9,13823,20世纪中国知识分子的心灵史,,,,,,,,,,,,,,,
220,https://img2.doubanio.com/view/subject/s/public/s28274132.jpg,认识电影,https://book.douban.com/subject/2326403/,[美] 路易斯·贾内梯 , 焦雄屏 , 世界图书出版公司 , 2007-11 , 68.00元,8.9,17948,电影入门经典之作,,,,,,,,,,,,,,,
221,https://img1.doubanio.com/view/subject/s/public/s24598159.jpg,众病之王,https://book.douban.com/subject/20507206/,[美] 悉达多·穆克吉 , 李虎 , 中信出版社 , 2013-2 , 42.00元,9,12511,癌症传,,,,,,,,,,,,,,,
222,https://img9.doubanio.com/view/subject/s/public/s2170316.jpg,总统是靠不住的,https://book.douban.com/subject/1056315/,林达 ,, 生活·读书·新知三联书店 , 2004-08 ,21.8,8.8,20408,美国政治法律制度的基本原理和操作细节,,,,,,,,,,,,,,,
223,https://img9.doubanio.com/view/subject/s/public/s28397415.jpg,二手时间,https://book.douban.com/subject/26704403/,[白俄] S. A. 阿列克谢耶维奇 , 吕宁思 , 中信出版社 , 2016-1 , 55.00元,8.9,22540,用最为细小的马赛克拼出了一幅完整的后苏联时代图景,,,,,,,,,,,,,,,
224,https://img9.doubanio.com/view/subject/s/public/s1069364.jpg,中国哲学简史,https://book.douban.com/subject/1021273/,冯友兰 , 赵复三 , 新世界出版社 , 2004-1 , 38.00元,8.9,19378,中国哲学入门书,,,,,,,,,,,,,,,
225,https://img9.doubanio.com/view/subject/s/public/s24174596.jpg,毛姆短篇小说精选集,https://book.douban.com/subject/10774752/,[英] 威廉·萨默塞特·毛姆 , 冯亦代 , 译林出版社 , 2012-11 , 36.00元,9.1,12013,在各种光怪陆离的场景中，迷失的人性引发了一连串的悲剧,,,,,,,,,,,,,,,
226,https://img2.doubanio.com/view/subject/s/public/s1072541.jpg,青铜时代,https://book.douban.com/subject/1085883/,王小波 ,, 花城出版社 , 1997-5 , 29.00元,8.8,26024,唐人传奇贯注现代情趣,,,,,,,,,,,,,,,
227,https://img9.doubanio.com/view/subject/s/public/s2976745.jpg,金锁记,https://book.douban.com/subject/3017857/,张爱玲 ,, 哈尔滨出版社 , 2005-6 , 13.5元,8.6,60429,一个小商人家庭出身的女子曹七巧的心灵变迁历程,,,,,,,,,,,,,,,
228,https://img2.doubanio.com/view/subject/s/public/s25807032.jpg,会饮篇,https://book.douban.com/subject/21570668/,[古希腊] 柏拉图 , 王太庆 , 商务印书馆 , 2013-1 , 12.00元,9.3,10077,,,,,,,,,,,,,,,,
229,https://img1.doubanio.com/view/subject/s/public/s2522397.jpg,规训与惩罚,https://book.douban.com/subject/1012307/,[法] 米歇尔·福柯 , 刘北成 , 生活·读书·新知三联书店 , 2003-1 , 21.80元,9.3,9889,伴随着惩罚的人性化，自由反而日益丧失了,,,,,,,,,,,,,,,
230,https://img9.doubanio.com/view/subject/s/public/s1073574.jpg,荆棘鸟,https://book.douban.com/subject/1086249/,[澳] 考琳·麦卡洛 , 曾胡 , 译林出版社 , 1998-7 , 28.00元,8.6,51271,澳洲乱世情,,,,,,,,,,,,,,,
231,https://img1.doubanio.com/view/subject/s/public/s2516920.jpg,从一到无穷大,https://book.douban.com/subject/1102715/,[美] G. 伽莫夫 , 暴永宁 译 , 科学出版社 , 2002-11 , 29.00元,9.1,13387,科学中的事实和臆测,,,,,,,,,,,,,,,
232,https://img2.doubanio.com/view/subject/s/public/s1993421.jpg,正见,https://book.douban.com/subject/1963912/,宗萨蒋扬钦哲仁波切 , 姚仁喜 , 中国友谊出版公司 , 2007-1 , 25.00元,8.8,16993,佛陀的证悟,,,,,,,,,,,,,,,
